Title,Description,Image URL,Article URL,Author Name,Content Date,Section,Revista
‘Daños irreversibles’ por bloqueos: FEPC habla de más de 121 mil empresas afectadas,"El daño es “irreversible” advirtió el empresariado privado cochabambino debido a que en lo que va del año, la Llajta fue azotada por 39 días de bloqueos, lo que provocó una afectación de 3.195 millones de bolivianos al aparato productivo y de servicios.","/asset/zoomcrop,768,432,center,center/media/opinion/images/2024/05/28/2024052812401522051.jpg",https://www.opinion.com.bo/articulo/cochabamba/danos-irreversibles-bloqueos-fepc-habla-mas-121-mil-empresas-llajta-afectadas/20240528124115946489.html,Violeta Soria,2024-05-28,Cochabamba,opinion
"Tren: por bloqueos, servicio férreo está ‘gravemente afectado’ y suspende viajes","Así lo informó, a través de un comunicado, la Operadora del Tren Metropolitano, ente que dio a conocer que los manifestantes cerraron las vías férreas con piedras, maderas y troncos, los cuales no solo obstaculizan el paso, también “dañan” la infraestructura.","/asset/zoomcrop,768,432,center,center/media/opinion/images/2024/05/28/2024052811344750683.jpg",https://www.opinion.com.bo/articulo/cochabamba/tren-bloqueos-servicio-ferreo-gravemente-afectado-suspende-viajes/20240528114243946484.html,Violeta Soria,2024-05-28,Cochabamba,opinion
Bloqueo contundente: transporte paraliza gran parte de la Llajta; Alcaldía llama al diálogo,"Ante este panorama, el secretario de Gobernabilidad de la Alcaldía de Cochabamba, Aldo García, convocó al transporte libre y federado a una mesa de diálogo prevista para las 11:00 de hoy en instalaciones de este ente municipal.","/asset/zoomcrop,768,432,center,center/media/opinion/images/2024/05/28/2024052810041614154.jpg",https://www.opinion.com.bo/articulo/cochabamba/bloqueo-contundente-transporte-paraliza-llajta-alcaldia-llama-dialogo/20240528100840946472.html,Violeta Soria,2024-05-28,Cochabamba,opinion
Homenaje a la Madre se conmemoró a los pies del monumento de las Heroínas,"En el país, el Día de la Madre se conmemora el 27 de mayo, en homenaje a la Batalla de La Coronilla, cuando en 1812, en Cochabamba, las heroínas combatieron contra el ejército realista español en la lucha por la independencia de Bolivia. Su valerosa participación marcó en...","/asset/zoomcrop,768,432,center,center/media/opinion/images/2024/05/27/2024052723214334406.jpg",https://www.opinion.com.bo/articulo/cochabamba/homenaje-madre-conmemoro-pies-monumento-heroinas/20240528000020946444.html,REDACCIÓN,2024-05-28,Cochabamba,opinion
"Luego de seis años y 34 sesiones, emiten sentencia en caso Mochilas I",Concluyó el juicio oral y resolvió sentencia de cinco años de cárcel para el exalcalde José María Leyes y un exsecretario municipal; importadores y otros fueron absueltos.,"/asset/zoomcrop,768,432,center,center/media/opinion/images/2024/05/27/2024052723152797493.jpg",https://www.opinion.com.bo/articulo/cochabamba/luego-anos-34-sesiones-emiten-sentencia-caso-mochilas-i/20240528000016946442.html,MELISSA REVOLLO P.,2024-05-28,Cochabamba,opinion
"Tarifa de pasaje: Transporte prevé paro, movilización y bloqueos hoy","Federados expresaron que sufren otros reajustes. El sector Libre dijo que determinan acciones permanentes, Aramco se organizaba para el cierre de algunas vías.","/asset/zoomcrop,768,432,center,center/media/opinion/images/2024/05/27/2024052723163990743.jpg",https://www.opinion.com.bo/articulo/cochabamba/tarifa-pasaje-transporte-preve-paro-movilizacion-bloqueos-hoy/20240528000005946441.html,MELISSA REVOLLO P.,2024-05-28,Cochabamba,opinion
Comodato a favor de la niñez: Ticti Norte pasa a manos del Hospital del Niño por 3 años,"El comodato se concreta, tras que el 2 de mayo pasado un informe técnico de la Gobernación de Cochabamba concluyó que la refuncionalización del Hospital del Niño, obra abandonada y paralizada hace 12 años, no es viable. ","/asset/zoomcrop,768,432,center,center/media/opinion/images/2024/05/27/2024052718125116551.jpg",https://www.opinion.com.bo/articulo/cochabamba/comodato-favor-ninos-ticti-norte-pasa-manos-hospital-nino-3-anos/20240527184628946386.html,Violeta Soria,2024-05-27,Cochabamba,opinion
"Fraternos de Urcupiña, listos para primera promesa; cita reunirá a más de 70 conjuntos","La cita está prevista para este jueves, 30 de mayo, cuando el mundo católico celebrará, con un feriado nacional, el Corpus Christi destinado a celebrar la Eucaristía.","/asset/zoomcrop,768,432,center,center/media/opinion/images/2023/08/15/2023081523270859544.jpg",https://www.opinion.com.bo/articulo/cochabamba/fraternos-urcupina-listos-primera-promesa-cita-reunira-mas-70-conjuntos/20240527162429946383.html,Violeta Soria,2024-05-27,Cochabamba,opinion
Caso Mochilas I: dan sentencia de cinco años a Leyes; empresarios son absueltos,"Sin embargo, resta la etapa de apelaciones, misma que continúa en el caso Mochilas II, cuya sentencia se emitió hace casi un año.
 ","/asset/zoomcrop,768,432,center,center/media/opinion/images/2023/06/29/2023062922375650346.jpg",https://www.opinion.com.bo/articulo/cochabamba/caso-mochilas-i-dan-sentencia-anos-leyes-empresarios-son-absueltos/20240527151130946380.html,Melissa Revollo P.,2024-05-27,Cochabamba,opinion
"¡Feliz día, mamás!: este 27 rinden honor a Heroínas de la Coronilla y distinguen a 6 madres","En la ocasión, y en cumplimiento a la Ley Municipal 0169/2016 de distinción “Heroínas de la Coronilla”, orden “Madre Meritoria Cochabambina"", la Alcaldía de Cochabamba reconoció a seis madres.","/asset/zoomcrop,768,432,center,center/media/opinion/images/2024/05/27/2024052711334731923.jpg",https://www.opinion.com.bo/articulo/cochabamba/feliz-dia-mamas-27-rinden-honor-heroinas-coronilla-distinguen-6-madres/20240527114118946372.html,Violeta Soria,2024-05-27,Cochabamba,opinion
Transporte de la Llajta anuncia bloqueo para este martes; Manfred pide ‘tolerancia’,El sector determinó acatar la extrema medida de presión a partir de las 05:00 de mañana. ,"/asset/zoomcrop,768,432,center,center/media/opinion/images/2024/05/13/2024051322450438188.jpg",https://www.opinion.com.bo/articulo/cochabamba/transporte-llajta-anuncian-bloqueo-martes-manfred-pide-tolerancia/20240527100816946366.html,Violeta Soria,2024-05-27,Cochabamba,opinion
"De Tarata sale semilla de trigo que tolera sequía, enfermedades y otros",El Banco de Germoplasma de la Estación Experimental cuanta con más de mil accesiones recolectadas de diferentes lugares de Bolivia.,"/asset/zoomcrop,768,432,center,center/media/opinion/images/2024/05/24/2024052421430998952.jpg",https://www.opinion.com.bo/articulo/cochabamba/tarata-sale-semilla-trigo-que-tolera-sequia-enfermedades-otros/20240526000055946285.html,MELISSA REVOLLO P.,2024-05-26,Cochabamba,opinion
Sindicato de Canillitas agasaja a sus afiliados por el Día de la Madre,"El Sindicato de Canillitas de Cochabamba agasajó este sábado a sus afiliados por el Día de la Madre, a quienes entregó presentes y refrigerios. El secretario General del Sindicato de Canillitas, Ricardo Tejerina, destacó especialmente el trabajo de las madres, quienes...","/asset/zoomcrop,768,432,center,center/media/opinion/images/2024/05/25/2024052522202144071.jpg",https://www.opinion.com.bo/articulo/cochabamba/sindicato-canillitas-agasaja-afiliados-dia-madre/20240526000006946341.html,REDACCIÓN,2024-05-26,Cochabamba,opinion
Municipios de Cochabamba organizan ferias gastronómicas y productivas este fin de semana,"Son al menos siete actividades que se realizan en el departamento, en las que se podrá degustar comida típica de las diferentes regiones.
 ","/asset/zoomcrop,768,432,center,center/media/opinion/images/2023/06/02/2023060220224122311.jpg",https://www.opinion.com.bo/articulo/cochabamba/municipios-cochabamba-organizan-ferias-gastronomicas-productivas-fin-semana/20240525103050946292.html,Redacción Digital,2024-05-25,Cochabamba,opinion
Distrito 9: Subalcaldía demuele vivienda ilegal en Itocta,"La comuna indagó, a través de códigos catastrales, con el fin de ubicar a la propietaria del inmueble (predio).","/asset/zoomcrop,768,432,center,center/media/opinion/images/2024/05/24/2024052420164580744.jpg",https://www.opinion.com.bo/articulo/cochabamba/distrito-9-subalcaldia-demuele-vivienda-ilegal-itocta/20240524201737946260.html,SHIRLEY VILLARROEL,2024-05-24,Cochabamba,opinion
"Bufeos, madre y cría, ya nadan en el Isiboro; para comunarios ‘ahora, el río va a estar vacío’","Los cetáceos, una madre y su cría, permanecieron por 43 días en un arroyo del río Capinota ubicado en la Central Mariscal Sucre del municipio de Villa Tunari. Hoy viernes fueron trasladados al río Isiboro.","/asset/zoomcrop,768,432,center,center/media/opinion/images/2024/05/24/2024052418291522188.jpg",https://www.opinion.com.bo/articulo/cochabamba/bufeos-nadan-isiboro-comunarios-ahora-rio-va-estar-vacio/20240524195155946246.html,Violeta Soria,2024-05-24,Cochabamba,opinion
Misicuni monitorea las aducciones de agua potable con inteligencia artificial,"Este viernes fue presentado el funcionamiento del centro de control y monitoreo del sistema de Supervisión, Control y Adquisición de Datos (Scada).","/asset/zoomcrop,768,432,center,center/media/opinion/images/2024/04/06/2024040617451891452.jpg",https://www.opinion.com.bo/articulo/cochabamba/misicuni-monitorea-aducciones-agua-potable-inteligencia-artificial/20240524183733946249.html,ABI,2024-05-24,Cochabamba,opinion
Misión empresarial de la Llajta arriba a Trinidad para consolidar integración con Beni,"El encuentro cuenta con la participación de empresarios de los rubros, Gastronómico, Tecnología, Minería, Servicios Aeronáuticos; Industria; Servicios Hoteleros, Ganadería, Medios de Comunicación; Comercio, Manufactura; industria del entretenimiento; Administración Pública, entre otros.","/asset/zoomcrop,768,432,center,center/media/opinion/images/2024/05/24/2024052414314758190.jpg",https://www.opinion.com.bo/articulo/cochabamba/mision-empresarial-llajta-arriba-trinidad-consolidar-integracion-beni/20240524143514946241.html,Redacción/FEPC,2024-05-24,Cochabamba,opinion
"Por bloqueos, Terminal de Buses de la Llajta suspende salidas al occidente del país","Tránsito de la Terminal de Buses de Cochabamba suspendió hoy viernes las salidas al occidente del país debido a bloqueos instalados en la ruta Cochabamba- Oruro, a la altura de la tranca de Caihuasi y las avenidas Blanco Galindo y Víctor Ustáriz. La operadora de...","/asset/zoomcrop,768,432,center,center/media/opinion/images/2024/02/09/2024020909565785001.jpg",https://www.opinion.com.bo/articulo/cochabamba/bloqueos-terminal-buses-llajta-suspende-salidas-occidente-pais/20240524133938946236.html,Violeta Soria,2024-05-24,Cochabamba,opinion
Todo listo para que bufeos de Villa Tunari naden en las profundas aguas del río Isiboro,"La captura, traslado y liberación será ejecutado por un equipo de expertos y bajo estrictos protocolos internacionales.","/asset/zoomcrop,768,432,center,center/media/opinion/images/2024/04/22/2024042222395290591.jpg",https://www.opinion.com.bo/articulo/cochabamba/todo-listo-que-bufeos-villa-tunari-naden-profundas-aguas-rio-isiboro/20240524124100946234.html,Violeta Soria,2024-05-24,Cochabamba,opinion
